Source,Count
Gold Coast,3498
Luanda,3449
Africa,6804
Benguela,889
Cabinda,903
Bonny,1165
West Central Africa and St. Helena,1767
Whydah,1065
Mozambique,454
Malembo,556
Anomabu,622
Bissau,239
Gambia,666
Quilimane,222
Portuguese Guinea,157
Sao Tome,311
Calabar,896
Cacheu,194
Ambriz,246
"Lagos, Onim",240
Congo North,231
Cape Coast Castle,452
Cape Verde Islands,376
Elmina,278
Ardra,202
Princes Island,107
Windward Coast,399
Sierra Leone estuary,400
Porto Novo,144
Cape Lahou,106
Loango,313
Sao Tome or Princes Island,61
Congo River,327
Bight of Biafra and Gulf of Guinea Islands,281
Saint-Louis,313
New Calabar,313
Senegambia and offshore Atlantic,237
Rio Pongo,99
Badagry/Apa,119
Iles de Los,174
Madagascar,83
Goree,139
Gallinhas,126
Benin,120
Christiansborg,58
Bassa,96
Epe,74
Cameroons,127
Bight of Benin,189
Jacquin,81
Inhambane,23
Danish Gold Coast,23
Cape Mount (Cape Grand Mount),169
Sierra Leone,46
Little Popo,40
Windward Coast (Nunez - Assini),99
Lourenco Marques,17
Gabon,139
Cameroons River,32
Sherbro,52
Gold Coast + Bight of Benin + Bight of Biafra,11
Southeast Africa and Indian Ocean islands,30
Popo,71
Gold Coast east of Kormantine,12
Kormantine,27
Bance Island (Ben's Island),67
Zanzibar,10
River Brass,15
Rio Zaire,9
Cap Lopez,40
Accra,53
Rio Nun,7
Kilwa,17
Boary,14
Bights,15
Mpinda,9
Banana Islands,31
Axim,6
Apammin,13
Nova Redonda,8
Grand Mesurado,22
River del Rey,10
Rio Nunez,13
Momboza or Zanzibar,5
Mano,7
Keta,14
Grand Sestos,10
Grand Bassa,6
Bimbia,12
West of Cape Apolonia,5
Rio Forcados,2
Quirimba,3
Quaqua,2
Pokesoe (Princes Town),4
Mauritius (Ile de France),2
Madeira,2
Little Bassa,2
Iles Plantain,3
Ife,2
French Africa (Goree or Senegal),2
Corisco,4
Cess,6
Calabary,2
Alampo,6
Wiamba,1
Trade Town,1
Touau-Toro (location undetermined),1
Tabou,1
Sugary (Siekere),1
St. Paul,2
St. Lawrence,1
Soyo,1
Sofala,3
Settra Kru,1
Senegambia or Sierra Leone,3
Scarcies,1
Sassandra,2
Salinas,2
River Kissey,3
Rio Grande,3
Rio Dande (N of Luanda),1
Rio Assini,1
Quicombo,2
Princes Island and Elmina,2
Portudal,2
place_of_purchase,1
Petit Mesurado,2
Penido,1
Oere,2
Mayumba,11
Mascarene Islands,2
Little Junk,2
Legas,1
Lay,2
Kilongo,2
"Joal, or Saloum River",1
Ivory Coast,4
Ibo,3
Gulf of Guinea islands,1
Grenada Point,1
Grand Popo,3
Grand Junk,1
Grand Bassam,3
Galam,5
Formosa,3
Fernando Po,1
Eva,1
Drouin,1
Dembia,1
Delagoa,3
Cote de Malaguette (runs through to Cape Palmas on Windward Coast),2
Costa Leste Occidental,1
Costa de Africa (mainland coast around S Tome/Principe),2
Coanza River,4
Chama,1
Casnasonis (location undetermined),1
Casamance,4
Cape of Good Hope,2
Cape Mole,1
Cape Logas (location undetermined),1
Bundy,1
Bissagos,2
Bilbay,1
Asia e Africa,1
Arguim,1
Andony,2
Amokou,1
Ambona,3
Alecuba,1
Albreda,4
Aghway,1
